crashkey,date_id,time_id,holiday_id,location_id,road_id,outcome_id,vehicle_id,gender_id,person_id,age_id,crash_count,fatality_count
148,D103,T141,H2,L107,R18,O1,V1,G1,P3,A19,1,1
149,D103,T142,H2,L135,R22,O1,V1,G1,P1,A32,1,1
150,D103,T143,H2,L107,R23,O1,V1,G1,P3,A15,1,1
151,D104,T144,H2,L136,R9,O2,V2,G1,P1,A17,1,1
152,D104,T101,H2,L137,R10,O1,V1,G1,P3,A33,1,1
153,D104,T145,H2,L138,R3,O1,V1,G2,P4,A11,1,1
154,D104,T146,H2,L139,R24,O1,V1,G2,P4,A34,1,1
155,D104,T147,H2,L117,R24,O2,V1,G2,P1,A35,1,1
156,D104,T148,H2,L140,R5,O1,V1,G1,P1,A28,1,1
157,D104,T149,H2,L141,R7,O2,V1,G1,P3,A19,1,1
158,D104,T150,H2,L107,R25,O1,V1,G2,P4,A36,1,1
159,D104,T151,H2,L127,R5,O1,V1,G2,P1,A1,1,1
160,D104,T152,H2,L135,R26,O1,V1,G1,P3,A17,1,1
161,D104,T105,H2,L142,R5,O3,V1,G2,P1,A19,1,2
162,D104,T105,H2,L142,R5,O3,V1,G2,P2,A24,1,2
163,D104,T153,H2,L107,R19,O1,V1,G1,P3,A37,1,1
164,D104,T154,H2,L143,R4,O2,V1,G1,P3,A10,1,1
165,D104,T155,H1,L144,R5,O1,V3,G2,P1,A29,1,1
166,D104,T156,H2,L145,R27,O2,V1,G2,P1,A38,1,1
167,D104,T123,H2,L146,R1,O2,V1,G1,P1,A4,1,1
168,D104,T157,H2,L107,R19,O1,V1,G1,P2,A39,1,1
169,D104,T158,H2,L147,R1,O2,V6,G1,P1,A40,1,1
170,D104,T159,H2,L148,R1,O2,V1,G1,P1,A41,1,1
171,D104,T160,H2,L149,R1,O3,V1,G1,P1,A22,1,2
172,D104,T160,H2,L149,R1,O3,V1,G1,P2,A22,1,2
173,D104,T112,H2,L150,R14,O3,V1,G1,P1,A42,1,2
174,D104,T112,H2,L150,R14,O3,V1,G2,P2,A43,1,2
175,D104,T161,H2,L107,R23,O1,V1,G1,P3,A40,1,1
176,D105,T162,H2,L151,R27,O1,V1,G2,P1,A22,1,1
177,D105,T163,H1,L107,R15,O1,V1,G1,P1,A26,1,1
178,D105,T149,H2,L152,R4,O2,V2,G1,P2,A44,1,1
179,D105,T164,H1,L153,R28,O2,V1,G3,P3,A1,1,1
180,D105,T165,H2,L154,R4,O2,V1,G2,P2,A45,1,1
181,D105,T166,H2,L155,R13,O1,V1,G2,P4,A46,1,1
182,D106,T101,H1,L115,R14,O1,V1,G1,P2,A44,1,1
183,D106,T167,H2,L107,R18,O1,V1,G2,P4,A47,1,1
184,D106,T168,H1,L156,R9,O1,V2,G2,P4,A30,1,1
185,D106,T169,H1,L157,R7,O1,V1,G2,P1,A48,1,1
186,D106,T170,H2,L158,R5,O1,V3,G1,P1,A27,1,1
187,D106,T171,H2,L159,R5,O1,V1,G1,P3,A49,1,1
188,D106,T120,H2,L160,R18,O1,V1,G1,P1,A20,1,1
189,D106,T136,H2,L161,R22,O1,V1,G1,P1,A16,1,1
190,D106,T172,H2,L107,R15,O1,V1,G2,P1,A40,1,1
191,D106,T173,H1,L162,R29,O1,V1,G1,P3,A19,1,1
192,D106,T174,H2,L163,R30,O2,V7,G1,P1,A50,1,1
193,D106,T175,H2,L164,R3,O2,V8,G1,P3,A51,1,1
194,D106,T176,H2,L165,R4,O2,V2,G1,P1,A40,1,1
195,D107,T177,H1,L161,R29,O1,V1,G1,P4,A15,1,1
196,D107,T101,H2,L166,R31,O2,V1,G1,P1,A23,1,1
197,D107,T178,H2,L167,R9,O1,V1,G2,P2,A52,1,1
198,D107,T179,H2,L107,R15,O1,V1,G1,P1,A33,1,1
199,D107,T123,H1,L141,R22,O2,V1,G1,P1,A53,1,1
200,D107,T157,H1,L168,R5,O1,V1,G1,P1,A41,1,1
201,D107,T180,H1,L123,R17,O1,V1,G1,P1,A1,1,1
202,D108,T144,H2,L169,R4,O2,V2,G1,P1,A54,1,1
203,D108,T181,H2,L143,R4,O1,V1,G1,P1,A55,1,1
204,D108,T182,H2,L170,R27,O2,V1,G2,P1,A8,1,1
205,D108,T183,H2,L107,R18,O1,V1,G1,P3,A56,1,1
206,D108,T115,H2,L107,R32,O1,V5,G1,P1,A56,1,1
207,D108,T184,H2,L171,R21,O1,V1,G1,P3,A17,1,1
208,D108,T185,H2,L172,R17,O2,V1,G2,P1,A26,1,1
209,D108,T185,H2,L173,R4,O1,V1,G1,P1,A57,1,1
210,D108,T186,H2,L172,R17,O2,V1,G1,P3,A13,1,1
211,D108,T187,H2,L146,R5,O1,V1,G1,P3,A5,1,1
212,D108,T105,H2,L174,R10,O1,V1,G1,P1,A58,1,1
213,D108,T188,H2,L175,R4,O2,V1,G1,P3,A43,1,1
214,D108,T189,H2,L176,R9,O1,V1,G1,P1,A59,1,1
215,D108,T190,H2,L177,R29,O1,V1,G1,P3,A60,1,1
216,D108,T191,H2,L169,R33,O2,V1,G2,P2,A61,1,1
217,D108,T192,H2,L172,R17,O1,V1,G1,P6,A7,1,1
218,D108,T193,H2,L178,R14,O1,V1,G1,P1,A51,1,1
219,D109,T194,H2,L123,R17,O2,V1,G1,P1,A6,1,1
220,D109,T195,H2,L115,R3,O1,V1,G1,P2,A51,1,1
221,D109,T196,H2,L179,R7,O1,V1,G1,P1,A59,1,1
222,D109,T197,H2,L107,R15,O1,V1,G1,P1,A28,1,1
223,D109,T198,H2,L180,R28,O2,V1,G1,P3,A13,1,1
224,D109,T199,H2,L131,R1,O4,V1,G2,P2,A60,1,2
225,D109,T199,H2,L131,R1,O4,V1,G2,P2,A30,1,2
226,D109,T120,H2,L108,R10,O1,V1,G1,P1,A48,1,1
227,D109,T200,H2,L181,R21,O2,V2,G2,P4,A57,1,1
228,D109,T201,H2,L182,R1,O2,V1,G2,P1,A53,1,1
229,D109,T202,H2,L183,R11,O2,V1,G1,P5,A49,1,1
230,D109,T203,H2,L184,R1,O1,V1,G1,P3,A7,1,1
231,D109,T204,H2,L167,R28,O2,V1,G1,P2,A62,1,1
232,D109,T205,H2,L185,R34,O1,V1,G2,P4,A63,1,1
233,D109,T206,H2,L145,R3,O1,V1,G1,P1,A10,1,1
234,D109,T191,H2,L165,R3,O2,V1,G1,P3,A57,1,1
235,D109,T113,H2,L147,R30,O2,V1,G1,P1,A23,1,1
236,D110,T207,H2,L172,R17,O1,V1,G1,P1,A16,1,1
237,D110,T208,H2,L181,R1,O1,V1,G1,P1,A64,1,1
238,D110,T195,H2,L172,R17,O1,V1,G2,P2,A65,1,1
239,D110,T145,H2,L107,R19,O1,V2,G1,P1,A43,1,1
240,D110,T115,H2,L186,R5,O2,V2,G1,P1,A15,1,1
241,D110,T209,H2,L147,R28,O1,V1,G1,P4,A29,1,1
242,D110,T184,H2,L187,R35,O1,V1,G1,P5,A54,1,1
243,D110,T184,H2,L188,R30,O2,V1,G1,P3,A23,1,1
244,D110,T210,H2,L107,R19,O1,V1,G1,P3,A22,1,1
245,D110,T169,H2,L172,R17,O1,V1,G2,P1,A51,1,1
246,D110,T211,H2,L172,R17,O1,V1,G2,P4,A28,1,1
247,D110,T212,H2,L188,R4,O1,V1,G1,P3,A6,1,1
248,D110,T148,H2,L107,R36,O1,V5,G2,P4,A66,1,1
249,D110,T213,H2,L107,R18,O1,V1,G2,P1,A37,1,1
250,D110,T214,H2,L172,R17,O4,V1,G1,P1,A67,1,2
251,D110,T214,H2,L172,R17,O4,V1,G1,P1,A21,1,2
252,D110,T123,H2,L189,R5,O4,V1,G2,P1,A68,1,2
253,D110,T123,H2,L189,R5,O4,V1,G2,P1,A2,1,2
254,D110,T215,H2,L165,R1,O4,V1,G2,P1,A28,1,2
255,D110,T215,H2,L165,R1,O4,V1,G1,P2,A44,1,2
256,D110,T216,H2,L123,R17,O1,V1,G1,P2,A69,1,1
257,D110,T217,H2,L172,R17,O1,V1,G1,P1,A29,1,1
258,D110,T218,H2,L190,R4,O2,V1,G2,P1,A68,1,1
259,D110,T108,H2,L169,R11,O2,V8,G1,P2,A13,1,1
260,D110,T219,H2,L191,R5,O1,V1,G1,P1,A70,1,1
261,D110,T219,H2,L129,R22,O1,V1,G1,P4,A8,1,1
262,D110,T220,H2,L192,R27,O1,V1,G2,P4,A49,1,1
263,D110,T112,H2,L171,R7,O1,V1,G1,P1,A51,1,1
264,D110,T221,H2,L172,R17,O1,V1,G1,P1,A22,1,1
265,D110,T222,H2,L172,R17,O2,V1,G2,P2,A61,1,1
266,D110,T223,H2,L193,R1,O1,V1,G2,P1,A21,1,1
267,D111,T177,H2,L194,R14,O1,V1,G2,P1,A64,1,1
268,D111,T224,H2,L116,R30,O1,V1,G1,P1,A17,1,1
269,D111,T225,H2,L195,R33,O1,V1,G1,P1,A22,1,1
270,D111,T226,H2,L196,R9,O3,V2,G2,P2,A19,1,2
271,D111,T226,H2,L196,R9,O3,V2,G1,P1,A61,1,2
272,D111,T195,H2,L197,R3,O1,V1,G1,P1,A31,1,1
273,D111,T227,H2,L198,R9,O2,V7,G1,P1,A54,1,1
274,D111,T228,H2,L199,R3,O2,V1,G2,P4,A71,1,1
275,D111,T229,H2,L172,R17,O1,V1,G1,P3,A50,1,1
276,D111,T230,H2,L200,R22,O1,V1,G2,P3,A19,1,1
277,D111,T169,H2,L169,R13,O2,V1,G1,P3,A25,1,1
278,D111,T231,H2,L117,R31,O2,V1,G1,P3,A16,1,1
279,D111,T198,H2,L127,R2,O1,V1,G1,P5,A18,1,1
280,D111,T178,H2,L107,R15,O1,V5,G1,P1,A29,1,1
281,D111,T232,H2,L107,R15,O1,V1,G1,P1,A4,1,1
282,D111,T155,H2,L201,R4,O2,V1,G1,P2,A2,1,1
283,D111,T157,H2,L150,R2,O1,V1,G1,P1,A72,1,1
284,D111,T233,H2,L202,R17,O1,V1,G1,P5,A16,1,1
285,D111,T219,H2,L203,R37,O1,V1,G1,P4,A27,1,1
286,D112,T234,H2,L154,R30,O2,V1,G1,P4,A69,1,1
287,D112,T144,H2,L108,R13,O4,V7,G1,P1,A10,1,2
288,D112,T144,H2,L108,R13,O4,V7,G1,P2,A31,1,2
289,D112,T101,H2,L204,R3,O1,V1,G1,P1,A55,1,1
290,D112,T235,H2,L205,R9,O1,V1,G2,P4,A39,1,1
291,D112,T236,H2,L178,R24,O1,V1,G1,P1,A73,1,1
292,D112,T115,H2,L206,R3,O1,V1,G2,P4,A53,1,1
293,D112,T115,H2,L207,R38,O2,V1,G2,P1,A7,1,1
294,D112,T237,H2,L208,R39,O2,V8,G2,P1,A26,1,1
295,D112,T171,H2,L209,R4,O2,V2,G1,P1,A70,1,1
296,D112,T123,H2,L172,R17,O2,V1,G1,P2,A42,1,1
297,D112,T238,H2,L172,R17,O2,V1,G2,P1,A33,1,1
298,D112,T166,H2,L210,R1,O2,V1,G1,P2,A16,1,1
299,D112,T239,H2,L144,R22,O2,V1,G1,P1,A28,1,1
300,D112,T240,H2,L211,R34,O2,V5,G1,P3,A9,1,1
301,D113,T241,H2,L191,R5,O1,V1,G1,P1,A39,1,1
302,D113,T195,H2,L187,R4,O2,V2,G1,P1,A19,1,1
303,D113,T242,H2,L172,R17,O1,V1,G1,P1,A1,1,1
304,D113,T243,H2,L172,R17,O1,V1,G2,P1,A44,1,1
305,D113,T244,H2,L212,R30,O2,V2,G1,P1,A67,1,1
306,D113,T169,H2,L213,R29,O3,V1,G2,P1,A9,1,2
307,D113,T169,H2,L213,R29,O3,V1,G1,P2,A74,1,2
308,D113,T245,H2,L214,R9,O2,V1,G1,P5,A57,1,1
309,D113,T246,H2,L215,R30,O1,V1,G1,P1,A16,1,1
310,D113,T149,H2,L216,R28,O2,V1,G2,P4,A22,1,1
311,D113,T149,H2,L160,R4,O2,V2,G1,P1,A67,1,1
312,D113,T178,H2,L217,R4,O2,V5,G1,P1,A8,1,1
313,D113,T247,H2,L102,R30,O2,V1,G2,P1,A12,1,1
314,D113,T248,H2,L159,R1,O2,V1,G1,P1,A59,1,1
315,D113,T249,H2,L179,R24,O1,V1,G1,P3,A4,1,1
316,D113,T123,H2,L115,R4,O1,V1,G2,P1,A39,1,1
317,D113,T250,H2,L218,R30,O1,V1,G1,P1,A21,1,1
318,D113,T157,H2,L219,R5,O1,V1,G2,P1,A66,1,1
319,D113,T251,H2,L107,R19,O1,V5,G1,P1,A75,1,1
320,D113,T252,H2,L172,R17,O2,V1,G1,P1,A72,1,1
321,D113,T253,H2,L220,R3,O2,V1,G1,P1,A67,1,1
322,D113,T112,H2,L221,R4,O4,V2,G2,P2,A66,1,2
323,D113,T112,H2,L221,R4,O4,V2,G1,P2,A76,1,2
324,D113,T254,H2,L172,R17,O1,V1,G1,P1,A56,1,1
325,D114,T255,H2,L123,R17,O3,V1,G2,P4,A73,1,2
326,D114,T255,H2,L123,R17,O3,V1,G2,P4,A6,1,2
327,D114,T107,H2,L101,R40,O2,V5,G1,P3,A30,1,1
328,D114,T190,H2,L222,R4,O2,V2,G2,P1,A40,1,1
329,D114,T240,H2,L172,R17,O2,V1,G1,P6,A77,1,1
330,D114,T256,H2,L196,R4,O2,V1,G1,P1,A15,1,1
331,D114,T257,H2,L223,R9,O2,V2,G1,P2,A70,1,1
332,D114,T258,H2,L107,R32,O1,V1,G1,P1,A31,1,1
333,D115,T259,H2,L182,R4,O3,V5,G1,P4,A65,1,2
334,D115,T259,H2,L182,R4,O3,V5,G2,P4,A45,1,2
335,D115,T227,H2,L181,R5,O1,V1,G2,P1,A22,1,1
336,D115,T184,H2,L115,R33,O2,V1,G1,P3,A56,1,1
337,D115,T169,H2,L224,R7,O2,V1,G1,P4,A15,1,1
338,D115,T260,H2,L225,R10,O1,V1,G1,P3,A50,1,1
339,D115,T136,H2,L174,R4,O2,V2,G2,P1,A48,1,1
340,D115,T261,H2,L119,R30,O2,V1,G2,P2,A28,1,1
341,D115,T123,H2,L226,R33,O2,V1,G1,P3,A2,1,1
342,D115,T262,H2,L227,R1,O1,V1,G2,P3,A9,1,1
343,D115,T263,H2,L110,R20,O1,V1,G2,P1,A60,1,1
344,D115,T264,H2,L116,R30,O1,V1,G1,P3,A69,1,1
345,D115,T108,H2,L228,R7,O1,V1,G1,P7,A64,1,1
346,D115,T265,H2,L229,R41,O1,V1,G1,P4,A78,1,1
347,D115,T191,H2,L188,R30,O3,V1,G1,P1,A10,1,2
348,D115,T191,H2,L188,R30,O3,V1,G2,P2,A79,1,2
349,D115,T266,H2,L230,R7,O2,V5,G2,P1,A59,1,1
350,D115,T267,H2,L145,R34,O1,V1,G1,P1,A29,1,1
351,D115,T268,H2,L231,R3,O1,V1,G1,P1,A73,1,1
352,D116,T269,H2,L154,R4,O1,V1,G1,P1,A57,1,1
353,D116,T144,H2,L232,R14,O1,V1,G1,P1,A80,1,1
354,D116,T270,H2,L233,R10,O1,V1,G1,P1,A40,1,1
355,D116,T271,H2,L234,R4,O2,V2,G1,P3,A33,1,1
356,D116,T272,H2,L107,R15,O1,V1,G1,P1,A7,1,1
357,D116,T120,H2,L224,R4,O2,V1,G2,P1,A71,1,1
358,D116,T273,H2,L107,R15,O1,V1,G2,P1,A61,1,1
359,D116,T274,H2,L172,R17,O2,V1,G1,P6,A39,1,1
360,D116,T123,H2,L123,R17,O1,V1,G2,P1,A24,1,1
361,D116,T275,H2,L107,R15,O1,V2,G1,P1,A8,1,1
362,D116,T190,H2,L235,R4,O1,V1,G1,P1,A31,1,1
363,D116,T190,H2,L171,R28,O1,V1,G1,P4,A7,1,1
364,D117,T225,H2,L236,R4,O1,V2,G1,P1,A70,1,1
365,D117,T101,H2,L228,R33,O2,V1,G1,P3,A26,1,1
366,D117,T276,H2,L237,R30,O1,V1,G1,P1,A33,1,1
367,D117,T277,H2,L107,R18,O5,V1,G1,P2,A32,1,3
368,D117,T277,H2,L107,R18,O5,V1,G1,P2,A43,1,3
369,D117,T271,H2,L238,R22,O2,V5,G1,P3,A80,1,1
370,D117,T149,H2,L239,R10,O2,V1,G2,P2,A68,1,1
371,D117,T105,H2,L240,R42,O1,V1,G1,P1,A80,1,1
372,D117,T278,H2,L112,R22,O1,V1,G2,P2,A1,1,1
373,D117,T120,H2,L238,R5,O1,V1,G1,P3,A72,1,1
374,D117,T279,H2,L107,R36,O1,V1,G2,P1,A53,1,1
375,D117,T280,H2,L107,R32,O3,V1,G2,P1,A44,1,2
376,D117,T280,H2,L107,R32,O3,V1,G2,P2,A39,1,2
377,D117,T281,H2,L107,R15,O1,V1,G1,P1,A32,1,1
378,D117,T253,H2,L117,R24,O2,V1,G1,P1,A51,1,1
379,D118,T282,H2,L107,R32,O1,V1,G1,P1,A66,1,1
380,D118,T114,H2,L241,R11,O1,V1,G1,P3,A15,1,1
381,D118,T283,H2,L242,R43,O1,V1,G2,P4,A40,1,1
382,D118,T207,H2,L243,R31,O1,V1,G1,P1,A15,1,1
383,D118,T284,H2,L172,R17,O1,V1,G1,P3,A22,1,1
384,D118,T168,H2,L244,R9,O1,V1,G1,P2,A81,1,1
385,D118,T115,H2,L120,R10,O2,V1,G1,P1,A70,1,1
386,D118,T285,H2,L245,R4,O2,V1,G2,P1,A59,1,1
387,D118,T184,H2,L239,R33,O1,V1,G1,P3,A20,1,1
388,D118,T286,H2,L107,R18,O1,V1,G1,P4,A38,1,1
389,D118,T134,H2,L223,R24,O2,V1,G1,P3,A15,1,1
390,D118,T105,H2,L246,R5,O1,V1,G1,P3,A71,1,1
391,D118,T105,H2,L247,R4,O2,V1,G2,P3,A32,1,1
392,D118,T287,H2,L248,R28,O2,V1,G1,P3,A43,1,1
393,D118,T288,H2,L107,R36,O1,V1,G1,P3,A4,1,1
394,D118,T120,H2,L228,R44,O4,V1,G1,P2,A63,1,2
395,D118,T120,H2,L228,R44,O4,V1,G2,P2,A25,1,2
396,D118,T289,H2,L114,R9,O4,V1,G1,P2,A82,1,2
397,D118,T289,H2,L114,R9,O4,V1,G2,P2,A64,1,2
398,D118,T290,H2,L107,R23,O1,V1,G2,P1,A68,1,1
399,D118,T214,H2,L249,R30,O1,V1,G1,P3,A70,1,1
400,D118,T123,H2,L228,R28,O1,V1,G1,P1,A67,1,1
401,D118,T262,H2,L107,R36,O1,V1,G2,P4,A55,1,1
402,D118,T291,H2,L250,R10,O1,V1,G1,P1,A72,1,1
403,D119,T292,H2,L107,R15,O1,V5,G1,P1,A70,1,1
404,D119,T293,H2,L251,R1,O2,V1,G1,P1,A22,1,1
405,D119,T236,H2,L188,R4,O1,V1,G1,P1,A31,1,1
406,D119,T271,H2,L252,R5,O2,V1,G1,P1,A27,1,1
407,D119,T294,H2,L253,R30,O1,V1,G2,P4,A83,1,1
408,D119,T115,H2,L221,R14,O1,V1,G2,P3,A24,1,1
409,D119,T244,H2,L254,R45,O1,V1,G1,P3,A28,1,1
410,D119,T105,H2,L255,R40,O1,V1,G1,P4,A28,1,1
411,D119,T171,H2,L256,R8,O4,V8,G1,P1,A26,1,2
412,D119,T171,H2,L256,R8,O4,V8,G1,P1,A60,1,2
413,D119,T295,H2,L257,R4,O2,V1,G1,P1,A32,1,1
414,D119,T188,H2,L123,R17,O2,V1,G1,P3,A67,1,1
415,D119,T155,H2,L107,R15,O1,V1,G1,P1,A17,1,1
416,D119,T296,H2,L117,R22,O2,V1,G1,P1,A37,1,1
417,D119,T205,H2,L192,R2,O1,V1,G1,P3,A2,1,1
418,D119,T297,H2,L258,R9,O2,V1,G1,P3,A18,1,1
419,D119,T157,H2,L194,R28,O2,V1,G1,P3,A22,1,1
420,D119,T298,H2,L259,R27,O2,V1,G1,P3,A15,1,1
421,D119,T299,H2,L172,R17,O2,V1,G1,P3,A71,1,1
422,D119,T108,H2,L260,R28,O2,V1,G1,P3,A22,1,1
423,D119,T300,H2,L172,R17,O1,V1,G1,P3,A24,1,1
424,D119,T142,H2,L116,R46,O1,V1,G2,P3,A3,1,1
425,D120,T301,H2,L261,R41,O2,V1,G2,P1,A2,1,1
426,D120,T101,H2,L118,R14,O2,V1,G1,P1,A41,1,1
427,D120,T302,H2,L262,R4,O2,V1,G1,P1,A32,1,1
428,D120,T195,H2,L263,R10,O1,V1,G1,P1,A5,1,1
429,D120,T120,H2,L207,R47,O1,V1,G2,P7,A32,1,1
430,D120,T188,H2,L259,R48,O1,V1,G1,P4,A79,1,1
431,D120,T190,H2,L137,R29,O1,V1,G2,P4,A56,1,1
432,D120,T240,H2,L264,R33,O2,V1,G1,P3,A31,1,1
433,D120,T303,H2,L218,R49,O1,V1,G1,P1,A41,1,1
434,D120,T304,H2,L107,R18,O1,V1,G1,P3,A81,1,1
435,D121,T305,H2,L123,R17,O1,V1,G2,P1,A8,1,1
436,D121,T306,H2,L107,R15,O1,V1,G2,P2,A40,1,1
437,D121,T307,H2,L247,R30,O1,V1,G1,P1,A20,1,1
438,D121,T296,H2,L123,R17,O1,V1,G2,P4,A41,1,1
439,D121,T138,H2,L265,R10,O1,V1,G2,P1,A39,1,1
440,D121,T308,H2,L266,R30,O2,V1,G2,P1,A28,1,1
441,D121,T123,H2,L267,R40,O1,V1,G1,P4,A68,1,1
442,D121,T157,H2,L169,R5,O2,V1,G1,P3,A72,1,1
443,D121,T190,H2,L194,R46,O2,V1,G1,P5,A84,1,1
444,D121,T309,H2,L268,R3,O1,V1,G1,P3,A64,1,1
445,D121,T310,H2,L269,R4,O1,V1,G1,P4,A70,1,1
446,D121,T311,H2,L201,R40,O1,V1,G1,P1,A31,1,1
447,D122,T312,H2,L270,R3,O1,V1,G1,P4,A58,1,1
448,D122,T271,H2,L271,R24,O1,V1,G2,P4,A85,1,1
449,D122,T313,H2,L107,R6,O1,V5,G1,P1,A48,1,1
450,D122,T149,H2,L272,R33,O1,V1,G2,P1,A58,1,1
451,D122,T314,H2,L273,R40,O2,V1,G2,P1,A86,1,1
452,D122,T315,H2,L118,R27,O2,V1,G1,P1,A62,1,1
453,D122,T120,H2,L171,R13,O1,V1,G1,P3,A70,1,1
454,D122,T136,H2,L107,R18,O1,V1,G1,P1,A87,1,1
455,D122,T204,H2,L274,R30,O4,V5,G2,P2,A65,1,2
456,D122,T204,H2,L274,R30,O4,V5,G1,P2,A53,1,2
457,D122,T157,H2,L171,R4,O2,V5,G1,P3,A39,1,1
458,D122,T190,H2,L228,R2,O2,V1,G1,P3,A32,1,1
459,D122,T309,H2,L145,R34,O2,V1,G1,P1,A59,1,1
460,D122,T316,H2,L117,R13,O2,V8,G1,P3,A44,1,1
461,D122,T317,H2,L145,R27,O2,V1,G2,P1,A15,1,1
462,D122,T318,H2,L107,R18,O1,V1,G2,P1,A4,1,1
463,D122,T219,H2,L275,R10,O1,V1,G2,P1,A18,1,1
464,D122,T319,H2,L136,R9,O6,V1,G1,P2,A2,1,4
465,D122,T319,H2,L136,R9,O6,V1,G2,P2,A61,1,4
466,D122,T319,H2,L136,R9,O6,V1,G1,P2,A51,1,4
467,D122,T319,H2,L136,R9,O6,V1,G1,P1,A61,1,4
468,D123,T320,H2,L276,R5,O1,V1,G1,P1,A88,1,1
469,D123,T321,H2,L277,R28,O2,V1,G1,P1,A65,1,1
470,D123,T171,H2,L278,R10,O1,V1,G2,P1,A53,1,1
471,D123,T120,H2,L279,R33,O1,V1,G1,P1,A16,1,1
472,D123,T120,H2,L132,R7,O2,V1,G1,P1,A19,1,1
473,D123,T154,H2,L237,R33,O2,V1,G2,P1,A60,1,1
474,D123,T157,H2,L280,R22,O2,V1,G2,P7,A64,1,1
475,D123,T189,H2,L281,R3,O2,V1,G1,P3,A22,1,1
476,D123,T322,H2,L282,R3,O1,V1,G2,P4,A89,1,1
477,D124,T114,H2,L224,R42,O4,V1,G1,P1,A48,1,2
478,D124,T114,H2,L224,R42,O4,V1,G1,P3,A4,1,2
479,D124,T323,H2,L107,R18,O1,V1,G1,P1,A44,1,1
480,D124,T324,H2,L283,R39,O1,V1,G1,P1,A59,1,1
481,D124,T325,H2,L284,R3,O1,V1,G1,P1,A1,1,1
482,D124,T326,H2,L257,R5,O2,V1,G1,P3,A43,1,1
483,D124,T327,H2,L285,R5,O2,V1,G1,P3,A43,1,1
484,D124,T262,H2,L286,R44,O1,V1,G1,P1,A63,1,1
485,D124,T328,H2,L287,R50,O2,V1,G1,P3,A44,1,1
